firm_id,w,c,L,S,Y,logw,logc,rank,A,xi,x,y,comp
1,1.1555204140943762,6.351101048258439,0.38504926881600066,11.29087433351867,2471.8521909872684,0.14455081746882073,1.8486281913002234,2,1.459067518455934,-0.132448188068996,-4.696305323542408,5.511582836873834,3
2,818.669759064751,31.839241094480617,2.052718779094707e-12,20.643248485304124,3.4048940275189396e-06,6.707680777951013,3.4606995257197823,5,1.2943913325541467,0.2077732340215408,1.4160559089697484,0.4203458184635557,1
3,0.7013168260782208,4.329667519544973,0.030380209705969354,10.711018735121975,164.71428251207968,-0.3547955310303567,1.4654907537417678,0,0.7734674018181291,-0.3060933095440241,4.617932387109494,5.57136121370713,2
4,655.4715201686447,33.10945723606335,3.459170010166399e-14,13.035590855139944,2.7896801332727936e-08,6.485354854767352,3.499818958675271,9,0.4017170827993744,-0.1250061108727019,-5.862111021667258,0.7793545688182643,1
5,865.2867620140593,31.96994916705851,1.3150056636477008e-12,19.628874311643145,2.183187469917539e-06,6.763060968771593,3.4647963730504205,6,1.2339018324849949,0.0594877629450336,-1.3710589300216407,1.195651354431916,1
6,1.0210250873596673,5.5610358271505245,0.20753142133514627,11.05037235489458,1315.8047536300667,0.020807110241742144,1.7157843907580461,1,1.295599661539356,-0.0239454649293677,-9.794447563898643,4.029149680128466,3
7,561.2559571315772,31.70830745155125,1.2235640483820416e-12,24.798206120832223,1.6783594225105098e-06,6.330177053043035,3.45657871126798,4,0.8334803886147659,-0.0944770782480415,-1.9680829760461915,-1.0204968002386388,1
8,1092.547568624399,32.42160963171017,1.1143619500615507e-12,16.401395369769926,1.9246993092267714e-06,6.996267467096825,3.478825164418354,8,1.433788938551675,0.0021920770185379,-0.2073375008562416,-0.0858676400541632,1
9,713.3251651846597,32.08717917249595,2.597578586912693e-13,20.39639902920642,3.680680649676834e-07,6.569937368606517,3.4684565476274742,7,0.7383773648093414,0.1453193579839222,-9.21652958544238,6.849897418431447,3
10,2.382537723737152,17.59674975469458,0.012812940499232147,18.653467940139553,101.12664673116967,0.8681661900985821,2.867714211961226,3,0.6078366521160756,-0.4537322445047397,-8.097213456154705,5.359104016630227,3
