variable,value
worker_idx,0
gamma,0.05
x_i,7.437284489095588
ell_x,5.665250061863243
ell_y,-4.848423368907674
a_i,7.437284489095588
P_outside,0.44240515432282446
sum_px,1.0
sum_P_byc,1.0
byc_0_firm_nat,2
byc_0_c_sorted,6.021693154894088
byc_0_distance,14.936269036973664
byc_0_V,0.6148863812298784
byc_0_v,0.876404908416412
byc_0_P_byc,0.23641084628612385
nat_2_P_nat,0.23641084628612385
byc_1_firm_nat,7
byc_1_c_sorted,8.00969524355627
byc_1_distance,7.7857757549671955
byc_1_V,3.0529954131853407
byc_1_v,14.349378417832444
byc_1_P_byc,0.23088936267657234
nat_7_P_nat,0.23088936267657234
byc_2_firm_nat,1
byc_2_c_sorted,9.399345671350309
byc_2_distance,11.519076185521445
byc_2_V,4.061756074488123
byc_2_v,32.64860944944814
byc_2_P_byc,0.010332561359267202
nat_1_P_nat,0.010332561359267202
byc_3_firm_nat,3
byc_3_c_sorted,9.42430517542925
byc_3_distance,7.533711243481545
byc_3_V,5.92090533545934
byc_3_v,255.7549535299604
byc_3_P_byc,0.06633491198933054
nat_3_P_nat,0.06633491198933054
byc_4_firm_nat,6
byc_4_c_sorted,9.933563662352874
byc_4_distance,9.307545667196125
byc_4_V,3.9825673375749204
byc_4_v,33.68962930411865
byc_4_P_byc,0.003805528172997844
nat_6_P_nat,0.003805528172997844
byc_5_firm_nat,4
byc_5_c_sorted,10.19880611047547
byc_5_distance,11.575622698300613
byc_5_V,4.816503231301592
byc_5_v,69.24992737888671
byc_5_P_byc,0.004705392071738602
nat_4_P_nat,0.004705392071738602
byc_6_firm_nat,5
byc_6_c_sorted,10.265409127974612
byc_6_distance,6.939634877577553
byc_6_V,4.48192525391125
byc_6_v,62.48606113519275
byc_6_P_byc,0.003767015828316976
nat_5_P_nat,0.003767015828316976
byc_7_firm_nat,10
byc_7_c_sorted,11.345735769784254
byc_7_distance,7.944990902053052
byc_7_V,5.194043517512089
byc_7_v,121.12147558007076
byc_7_P_byc,0.0008338341410160471
nat_10_P_nat,0.0008338341410160471
byc_8_firm_nat,9
byc_8_c_sorted,11.492147850732847
byc_8_distance,7.853614024514319
byc_8_V,5.023387358962583
byc_8_v,102.58653206904093
byc_8_P_byc,0.0005063487415930762
nat_9_P_nat,0.0005063487415930762
byc_9_firm_nat,8
byc_9_c_sorted,13.211587990800343
byc_9_distance,8.21760960694487
byc_9_V,5.240606644411567
byc_9_v,125.17667808831095
byc_9_P_byc,9.044410219156175e-06
nat_8_P_nat,9.044410219156175e-06
px_0_z_lo,-inf
px_0_z_hi,-0.9437275561343336
px_0_p,0.17265444433045596
q_0,0.17265444433045596
Q_0,0.44240515432282446
denom_0,1.0
px_1_z_lo,-0.9437275561343336
px_1_z_hi,0.3816071696404541
px_1_p,0.4759691729701635
q_1,0.2536601619593165
Q_1,0.2697507099923685
denom_1,1.876404908416412
px_2_z_lo,0.3816071696404541
px_2_z_hi,1.308040788169814
px_2_p,0.25594664514453513
q_2,0.015774070194225005
Q_2,0.016090548033051977
denom_2,16.225783326248855
px_3_z_lo,1.308040788169814
px_3_z_hi,1.3246804575557747
px_3_p,0.0027911587788380654
q_3,5.7108817528388434e-05
Q_3,0.000316477838826972
denom_3,48.87439277569699
px_4_z_lo,1.3246804575557747
px_4_z_hi,1.6641861155048574
px_4_p,0.044600957841025246
q_4,0.00014641057528408234
Q_4,0.0002593690212985835
denom_4,304.6293463056574
px_5_z_lo,1.6641861155048574
px_5_z_hi,1.8410144142532545
px_5_p,0.01522789772804034
q_5,4.501047480589592e-05
Q_5,0.00011295844601450121
denom_5,338.31897560977603
px_6_z_lo,1.8410144142532545
px_6_z_hi,1.8854164259193495
px_6_p,0.0031229041718128236
q_6,7.66227292836346e-06
Q_6,6.79479712086053e-05
denom_6,407.5689029886627
px_7_z_lo,1.8854164259193495
px_7_z_hi,2.605634187125777
px_7_p,0.025101601796145845
q_7,5.3401418370154234e-05
Q_7,6.028569828024184e-05
denom_7,470.0549641238555
px_8_z_lo,2.605634187125777
px_8_z_hi,2.703242241091506
px_8_p,0.0011518831034352806
q_8,1.9484590827269238e-06
Q_8,6.8842799100876015e-06
denom_8,591.1764397039262
px_9_z_lo,2.703242241091506
px_9_z_hi,3.84953566780317
px_9_p,0.003374163160161703
q_9,4.863567670005156e-06
Q_9,4.935820827360677e-06
denom_9,693.7629717729671
px_10_z_lo,3.84953566780317
px_10_z_hi,inf
px_10_p,5.91709753861025e-05
q_10,7.225315735552137e-08
Q_10,7.225315735552137e-08
denom_10,818.9396498612781
