grid_id,x_skill,ell_x,ell_y,weight_x,weight_ell,weight_joint,count_float,count_int,P_outside,P_byc_1,P_byc_2,P_byc_3,P_byc_4,P_byc_5,Pemp_outside,Pemp_byc_1,Cemp_byc_1,Pemp_byc_2,Cemp_byc_2,Pemp_byc_3,Cemp_byc_3,Pemp_byc_4,Cemp_byc_4,Pemp_byc_5,Cemp_byc_5,Cemp_outside
0,9.645269330410535,-8.660254037844386,-4.928203230275509,0.1666666666666666,0.0277777777777777,0.0046296296296296,2.314814814814808,2,6.216168607956636e-05,0.117032840272874,0.1186694465866657,0.1927586698602398,0.5714671883092893,9.693284851501868e-06,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0
1,9.645269330410535,0.0,-4.928203230275509,0.1666666666666666,0.1111111111111111,0.0185185185185185,9.25925925925926,11,4.678235343550498e-05,0.1278847209551764,0.131321393971748,0.2038121464994435,0.5369268790042704,8.077215926075093e-06,0.0,0.18181818181818182,2.0,0.0,0.0,0.2727272727272727,3.0,0.5454545454545454,6.0,0.0,0.0,0.0
2,9.645269330410535,8.660254037844386,-4.928203230275509,0.1666666666666666,0.0277777777777777,0.0046296296296296,2.314814814814808,3,4.820870251968438e-05,0.1611345133886463,0.1828915427434291,0.2327823019331458,0.4231364973900355,6.935842223671589e-06,0.0,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0
3,9.645269330410535,-8.660254037844386,2.0,0.1666666666666666,0.1111111111111111,0.0185185185185185,9.25925925925926,7,5.7668220170674245e-05,0.116974188143839,0.1194212112117952,0.197666104089035,0.5658698227692157,1.1005565944321902e-05,0.0,0.14285714285714285,1.0,0.0,0.0,0.2857142857142857,2.0,0.5714285714285714,4.0,0.0,0.0,0.0
4,9.645269330410535,0.0,2.0,0.1666666666666666,0.4444444444444444,0.074074074074074,37.03703703703704,37,3.979117460545226e-05,0.124417324664108,0.1267108979730713,0.2096040937582755,0.5392191177872768,8.774642662561425e-06,0.0,0.08108108108108109,3.0,0.10810810810810811,4.0,0.21621621621621623,8.0,0.5945945945945946,22.0,0.0,0.0,0.0
5,9.645269330410535,8.660254037844386,2.0,0.1666666666666666,0.1111111111111111,0.0185185185185185,9.25925925925926,11,3.935787520899467e-05,0.1860071100004564,0.1909543812134896,0.256656196359158,0.3663361329792722,6.821572414620057e-06,0.0,0.09090909090909091,1.0,0.09090909090909091,1.0,0.18181818181818182,2.0,0.6363636363636364,7.0,0.0,0.0,0.0
6,9.645269330410535,-8.660254037844386,8.928203230275509,0.1666666666666666,0.0277777777777777,0.0046296296296296,2.314814814814808,2,6.493243687946829e-05,0.1242066315725495,0.1313175952057903,0.2119900665834246,0.5324085864841598,1.2187717196083831e-05,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
7,9.645269330410535,0.0,8.928203230275509,0.1666666666666666,0.1111111111111111,0.0185185185185185,9.25925925925926,9,4.936911924911084e-05,0.1386077653768774,0.1513411205222677,0.2353514351642039,0.4746399120992607,1.0397718140855233e-05,0.0,0.3333333333333333,3.0,0.1111111111111111,1.0,0.3333333333333333,3.0,0.2222222222222222,2.0,0.0,0.0,0.0
8,9.645269330410535,8.660254037844386,8.928203230275509,0.1666666666666666,0.0277777777777777,0.0046296296296296,2.314814814814808,3,4.702251690791572e-05,0.1640457955828407,0.2089000990804682,0.2558182093014602,0.3711810019320078,7.871586314996912e-06,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.6666666666666666,2.0,0.0,0.0,0.0
9,10.009,-8.660254037844386,-4.928203230275509,0.6666666666666666,0.0277777777777777,0.0185185185185184,9.259259259259233,8,5.8219081101953874e-05,0.1096100323069936,0.1111428368643322,0.1805329511064694,0.5352218880801877,0.063434072560915,0.0,0.0,0.0,0.0,0.0,0.125,1.0,0.875,7.0,0.0,0.0,0.0
10,10.009,0.0,-4.928203230275509,0.6666666666666666,0.1111111111111111,0.074074074074074,37.03703703703704,43,4.4309874706711466e-05,0.12112592775476,0.1243809702994272,0.1930405379786294,0.5085499393937768,0.0528583146986998,0.0,0.09302325581395349,4.0,0.046511627906976744,2.0,0.23255813953488372,10.0,0.6046511627906976,26.0,0.023255813953488372,1.0,0.0
