worker,outside,firm_1,firm_2,firm_3,firm_4,firm_5,firm_6,firm_7,firm_8,firm_9,firm_10
0,0.44240515435296357,0.23088936267545118,0.0037670158296753057,0.23641084625819217,0.01033256135823157,0.004705392071640308,0.0663349119846391,0.003805528175804682,9.044410216823997e-06,0.0005063487416666395,0.0008338341415185862
1,0.1283662499409923,0.323144170777724,0.025453282892834418,0.16060653326363758,0.038203760537762615,0.03040557996632648,0.25614725819788553,0.018471692293987506,0.0004398592799311908,0.0069518469694861175,0.011809765879432233
2,0.0015925645351349733,0.024059950286967106,0.08506076514457818,0.001564540535074922,0.04611631584888134,0.09413647547145101,0.3538518463834808,0.04609193464245125,0.0817527431626798,0.1209846111273552,0.14478825286194544
3,0.03114335098831688,0.18649597380548877,0.06477161577285702,0.04130378851110967,0.046632484035914246,0.0590326149664098,0.44606703592718094,0.03167533003993776,0.00628563698089977,0.02874297804625268,0.05784919092563239
4,0.0037805386367120676,0.04061737105608596,0.0778014939531119,0.004752077495763302,0.07259993169014356,0.133156027403405,0.34711217549271056,0.05639169478340408,0.04100958591199618,0.10814037238756212,0.11463873118910528
