sim,a_skill,s_skill,eps_outside,U_outside_total,choice,feasible_firm_1,feasible_firm_2,feasible_firm_3,feasible_firm_4,feasible_firm_5,feasible_firm_6,feasible_firm_7,feasible_firm_8,feasible_firm_9,feasible_firm_10,eps_firm_1,eps_firm_2,eps_firm_3,eps_firm_4,eps_firm_5,eps_firm_6,eps_firm_7,eps_firm_8,eps_firm_9,eps_firm_10,U_firm_1,U_firm_2,U_firm_3,U_firm_4,U_firm_5,U_firm_6,U_firm_7,U_firm_8,U_firm_9,U_firm_10
0,-1.4836820255217762,5.953602463573812,2.8945569647051306,2.8945569647051306,0,False,False,False,False,False,False,False,False,False,False,1.390612305581366,1.5906324575205595,1.6426299337460673,-0.5139105430196707,-0.9432988736468865,1.1277602883211935,-0.538500600394766,-0.7913168461018197,0.3292953648824753,1.2694339026202741,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
1,1.7882491561524878,9.225533645248076,1.4250478352422904,1.4250478352422904,1,True,False,True,False,False,False,False,False,False,False,-0.3021263515024546,0.0059268519549287215,-0.9642768936193592,1.3323896532448418,-0.473169297740461,0.3145003235918533,1.3341304671544905,1.7070134364267116,0.37289889168208684,0.13466467357086787,2.3497499885240067,-inf,-0.3926937504988337,-inf,-inf,-inf,-inf,-inf,-inf,-inf
2,1.1321544664683763,8.569438955563964,4.199241184949745,4.199241184949745,0,True,False,True,False,False,False,False,False,False,False,0.45095622149049286,-0.2645527924909937,-0.9196395373350735,0.017905059973126657,-0.9124403447899885,-0.6932415223101092,1.4020853552091954,-0.6985659261806626,-0.27164579189963656,1.1222589431627106,3.102832561516954,-inf,-0.34805639421454804,-inf,-inf,-inf,-inf,-inf,-inf,-inf
3,1.2898217769191052,8.727106266014694,-0.695207141376153,-0.695207141376153,1,True,False,True,False,False,False,False,False,False,False,1.0331834329048617,0.28935164270433017,2.6013862345404557,0.13325606177441884,1.3031086751693648,-0.3701937078396235,1.6569769794681388,0.9807069024497763,4.228087132591671,3.408417748038073,3.6850597729313233,-inf,3.1729693776609813,-inf,-inf,-inf,-inf,-inf,-inf,-inf
4,3.434864920971868,10.872149410067456,0.45934157866268843,0.45934157866268843,3,True,True,True,True,True,True,True,False,False,False,1.9906193904460365,1.21127743985108,5.748932641744337,0.734470426757214,0.15347461356606013,0.584488105748684,-0.5891359121793608,0.04249751623009329,1.1732477618759694,-0.5105007281135874,4.642495730472498,5.23995911649168,6.320515784864862,4.163595133410938,4.302223698693536,6.043624823205857,2.710285126812969,-inf,-inf,-inf
5,-0.8146262115189422,6.622658277576646,0.5529364230469492,0.5529364230469492,3,False,False,True,False,False,False,False,False,False,False,0.6843126870263457,3.79485266469007,0.4562520663951723,0.023276444382242394,-1.0718828285036748,0.5594788142314178,0.4082169949768758,0.31180070625436873,0.6438858517446755,0.14544512632171777,-inf,-inf,1.0278352095156977,-inf,-inf,-inf,-inf,-inf,-inf,-inf
6,0.5459457473686714,7.9832302364642596,0.40020804261639753,0.40020804261639753,3,False,False,True,False,False,False,False,False,False,False,0.05977127485760047,-0.30903181773966665,0.5765714885540708,1.0197474378084788,5.131541354809195,-0.34539798002346755,2.5163941097341525,0.395532948754623,1.0135602610861674,-0.6085328691732235,-inf,-inf,1.1481546316745963,-inf,-inf,-inf,-inf,-inf,-inf,-inf
7,-0.3397512725687584,7.09753321652683,0.9570897641735789,0.9570897641735789,0,False,False,True,False,False,False,False,False,False,False,-0.8244005776487915,0.8872695205624296,-0.5139665817178244,-0.4722963454570788,-0.06301029506198998,1.348296105588303,1.9097161275835604,0.5936780894354471,1.8058733973512349,-0.725478692776484,-inf,-inf,0.057616561402701105,-inf,-inf,-inf,-inf,-inf,-inf,-inf
8,-1.8335184033098573,5.603766085785731,3.4814416836740145,3.4814416836740145,0,False,False,False,False,False,False,False,False,False,False,0.19933337043275362,0.5797706111104389,-0.6709753370941149,1.7410077443129741,0.8055548901310279,-0.022806682078059554,-0.9838743982879622,1.1922357110852682,-0.15277908454394792,1.8238383992145972,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
9,3.398280899800814,10.835565388896402,1.0584850895952396,1.0584850895952396,6,True,True,True,True,True,True,True,False,False,False,1.2751938837013441,1.3427258360442857,0.7698779346159297,0.920491284752923,0.0529735455029219,0.23973980861745592,-0.325604682886857,1.0512727907641075,-1.1733535051703095,0.24318197240058229,3.9270702237278057,5.371407512684886,1.3414610777364553,4.349615991406647,4.201722630630397,5.698876526074629,2.9738163561054725,-inf,-inf,-inf
10,0.48920125128954456,7.926485740385132,-0.1532217009496335,-0.1532217009496335,3,False,False,True,False,False,False,False,False,False,False,1.8004417984411603,1.8535343965474287,0.47807100194641006,0.3038039954351242,1.1472279916444226,1.6164703528008633,0.3552184815105974,-0.07487232937807474,1.3480415082282686,1.400654968491782,-inf,-inf,1.0496541450669357,-inf,-inf,-inf,-inf,-inf,-inf,-inf
11,-0.8096442869196874,6.6276402021759,-0.2551032956061646,-0.2551032956061646,3,False,False,True,False,False,False,False,False,False,False,3.354116970213961,-1.3853766437567168,4.763877042938201,1.1781981126296754,-0.9134177117041685,2.479284937770081,-0.657034286840241,1.8561279683780512,1.62188580809656,-0.4289209719251312,-inf,-inf,5.335460186058727,-inf,-inf,-inf,-inf,-inf,-inf,-inf
12,0.2020786083470384,7.639363097442627,0.48200021664927184,0.48200021664927184,3,False,False,True,False,False,False,False,False,False,False,3.237963263798843,0.9707939742376965,4.172647942013357,0.8451045046690568,-0.0739772993124857,1.1770748840165304,-0.05411589451890244,-0.9646600853817985,0.4658214725478151,1.4607152521645983,-inf,-inf,4.744231085133882,-inf,-inf,-inf,-inf,-inf,-inf,-inf
13,-1.2798754763413898,6.157409012754198,-1.0702537593726504,-1.0702537593726504,3,False,False,True,False,False,False,False,False,False,False,1.9315961334442895,-0.832464218704442,1.0626992655361926,1.986555594905511,2.074253605255509,-0.354050845906481,2.3794594436119643,-0.36487614982696026,1.2948641752645185,0.6113230630544197,-inf,-inf,1.634282408656718,-inf,-inf,-inf,-inf,-inf,-inf,-inf
14,0.33049540208299105,7.767779891178579,-0.055888112320909296,-0.055888112320909296,3,False,False,True,False,False,False,False,False,False,False,0.49086878186029786,0.691957780451037,-0.49046835706497416,0.4871678048448029,-0.16233564142898618,-0.42082002393220524,0.046878242358318487,-1.1799671024006142,0.22256769363565557,1.39757304983421,-inf,-inf,0.08111478605555134,-inf,-inf,-inf,-inf,-inf,-inf,-inf
15,-0.28512044514819856,7.15216404394739,1.2713565373565197,1.2713565373565197,3,False,False,True,False,False,False,False,False,False,False,2.4417955904205857,-0.3450582273104562,1.1802517014138034,0.9772260342265442,-1.493316651429519,0.6699077686258209,0.5410026155777864,-0.9294994770816036,-0.44530350563515303,-0.6741785626379475,-inf,-inf,1.7518348445343288,-inf,-inf,-inf,-inf,-inf,-inf,-inf
16,0.740306688288896,8.177591177384484,1.4317250997715478,1.4317250997715478,1,True,False,True,False,False,False,False,False,False,False,2.689833987332639,2.486754641980436,1.9150906099687277,1.158938071436511,-0.40697185402308206,1.3441955608296727,0.6018005752039769,0.4898125874418445,0.9926084871172314,1.635718615291775,5.341710327359101,-inf,2.4866737530892533,-inf,-inf,-inf,-inf,-inf,-inf,-inf
17,-0.618197531539931,6.819086957555657,-0.6486415055721261,-0.6486415055721261,3,False,False,True,False,False,False,False,False,False,False,-1.6347380933496032,0.7697987405615986,0.4789493937771322,0.8966081462505437,0.7878504802423169,-0.1502343388803452,-0.28462057998645046,0.9641282765666614,1.853566986259856,-0.20650958202803277,-inf,-inf,1.0505325368976577,-inf,-inf,-inf,-inf,-inf,-inf,-inf
18,1.0929428782091104,8.530227367304699,-0.9084439697391375,-0.9084439697391375,1,True,False,True,False,False,False,False,False,False,False,0.6414949257938306,3.5717610015997328,-0.25861361295247437,-1.4476807620172545,0.4651558020325056,-1.115199146909406,1.7291163560897762,1.4298335465699177,0.8727307818257918,0.6524177688781092,3.293371265820292,-inf,0.3129695301680511,-inf,-inf,-inf,-inf,-inf,-inf,-inf
19,0.4871310442658651,7.924415533361453,-1.2792448111322112,-1.2792448111322112,3,False,False,True,False,False,False,False,False,False,False,0.3371761397056116,-0.17662105667905886,0.012236879085276,-0.677995726669818,2.171168722261637,0.1926213248896707,-0.5019727772877725,-0.3975846234063779,-0.37754660407933516,-1.3797480454390905,-inf,-inf,0.5838200222058015,-inf,-inf,-inf,-inf,-inf,-inf,-inf
20,0.21964747720236683,7.656931966297955,2.1878392351953853,2.1878392351953853,0,False,False,True,False,False,False,False,False,False,False,1.7931002000719023,0.1397192619579427,0.573430166848418,2.713896197951509,1.116663764050465,0.7021003050047112,0.34961548362386685,-0.3432474554393986,0.39834242225677374,-0.5579776647826339,-inf,-inf,1.1450133099689435,-inf,-inf,-inf,-inf,-inf,-inf,-inf
21,-1.0165821707187535,6.420702318376835,0.8166818219235008,0.8166818219235008,0,False,False,True,False,False,False,False,False,False,False,-0.49456272605153756,1.5786174490870404,-0.7888356359244303,-0.11249000299650383,-1.1202650670952456,1.4459440997245103,1.3282632685446234,0.4945689409638554,1.8260016015225422,3.205533756434018,-inf,-inf,-0.2172524928039048,-inf,-inf,-inf,-inf,-inf,-inf,-inf
22,3.166785569561349,10.604070058656937,-0.3297334056204291,-0.3297334056204291,5,True,True,True,True,True,True,True,False,False,False,-0.7875889183194275,1.3253871162106443,-1.0605093042069482,2.494303172408746,2.5068301041038996,-0.20054686505137378,2.6562510333691756,-1.2608371258538777,1.1378907850062718,1.981979043924104,1.8642874217070338,5.354068792851244,-0.48892616108642273,5.923427879062469,6.655579189231375,5.258589852405799,5.955672072361505,-inf,-inf,-inf
