parameter,value
gamma,0.05
V_1,3.052995413
V_2,4.481925254
V_3,0.614886381
V_4,4.061756074
V_5,4.816503231
V_6,5.920905335
V_7,3.982567338
V_8,5.240606644
V_9,5.023387359
V_10,5.194043518
